pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,232,trial1,brow,diff_bin2,-0.3336946666694232,angry
pp401,adult,232,trial1,brow,diff_bin3,0.5953851183667167,angry
pp401,adult,232,trial1,brow,diff_bin4,0.5774372278066228,angry
pp401,adult,232,trial1,brow,diff_bin5,-0.04880380193769601,angry
pp401,adult,232,trial1,brow,diff_bin6,-0.10071233375901012,angry
pp401,adult,232,trial1,brow,diff_bin7,0.11079207324418164,angry
pp401,adult,232,trial1,brow,diff_bin8,-0.3481550524287405,angry
pp401,adult,232,trial1,brow,diff_bin9,-0.36978183524819014,angry
pp401,adult,232,trial1,cheek,diff_bin1,NA,angry
pp401,adult,232,trial1,cheek,diff_bin10,-0.100411904945652,angry
pp401,adult,232,trial1,cheek,diff_bin2,-0.05329565265837832,angry
pp401,adult,232,trial1,cheek,diff_bin3,-0.04789370396086162,angry
pp401,adult,232,trial1,cheek,diff_bin4,-0.04056153041857469,angry
pp401,adult,232,trial1,cheek,diff_bin5,-0.07722239813000947,angry
pp401,adult,232,trial1,cheek,diff_bin6,-0.08549287541628198,angry
pp401,adult,232,trial1,cheek,diff_bin7,-0.06450168022940561,angry
pp401,adult,232,trial1,cheek,diff_bin8,-0.11386986150224454,angry
pp401,adult,232,trial1,cheek,diff_bin9,-0.07018512005011801,angry
pp401,adult,232,trial3,brow,diff_bin1,0.05898986778874471,angry
pp401,adult,232,trial3,brow,diff_bin10,-0.40797426587132846,angry
pp401,adult,232,trial3,brow,diff_bin2,-0.05373734531440433,angry
pp401,adult,232,trial3,brow,diff_bin3,-0.07308874390407905,angry
pp401,adult,232,trial3,brow,diff_bin4,-0.16346615489981242,angry
pp401,adult,232,trial3,brow,diff_bin5,-0.09597017784088135,angry
pp401,adult,232,trial3,brow,diff_bin6,-0.49199336018759754,angry
pp401,adult,232,trial3,brow,diff_bin7,0.14481651032492826,angry
pp401,adult,232,trial3,brow,diff_bin8,-0.3309089158834374,angry
pp401,adult,232,trial3,brow,diff_bin9,-0.3048376909703151,angry
pp401,adult,232,trial3,cheek,diff_bin1,-0.04194217735615341,angry
pp401,adult,232,trial3,cheek,diff_bin10,-0.18382710778596606,angry
pp401,adult,232,trial3,cheek,diff_bin2,0.10006339212645735,angry
pp401,adult,232,trial3,cheek,diff_bin3,-0.07936709240197642,angry
pp401,adult,232,trial3,cheek,diff_bin4,-0.005040031539122303,angry
pp401,adult,232,trial3,cheek,diff_bin5,0.126751431473246,angry
pp401,adult,232,trial3,cheek,diff_bin6,0.09270440990577081,angry
pp401,adult,232,trial3,cheek,diff_bin7,0.02662101765078967,angry
pp401,adult,232,trial3,cheek,diff_bin8,0.02765315176917371,angry
pp401,adult,232,trial3,cheek,diff_bin9,-0.08943375114102131,angry
pp401,adult,232,trial4,brow,diff_bin1,0.022860168663626834,angry
pp401,adult,232,trial4,brow,diff_bin10,0.3545558996545562,angry
pp401,adult,232,trial4,brow,diff_bin2,-0.09171712320578773,angry
pp401,adult,232,trial4,brow,diff_bin3,0.5664218163017308,angry
pp401,adult,232,trial4,brow,diff_bin4,0.5176818101835614,angry
pp401,adult,232,trial4,brow,diff_bin5,0.046251969156640094,angry
pp401,adult,232,trial4,brow,diff_bin6,0.15959587518187768,angry
pp401,adult,232,trial4,brow,diff_bin7,0.05405632441203634,angry
pp401,adult,232,trial4,brow,diff_bin8,-0.1377351743574976,angry
pp401,adult,232,trial4,brow,diff_bin9,-0.16859108573509984,angry
pp401,adult,232,trial4,cheek,diff_bin1,0.04542730554809977,angry
pp401,adult,232,trial4,cheek,diff_bin10,-0.254789679509672,angry
pp401,adult,232,trial4,cheek,diff_bin2,-0.022143968358058565,angry
pp401,adult,232,trial4,cheek,diff_bin3,-0.1861996758243295,angry
pp401,adult,232,trial4,cheek,diff_bin4,0.167031470768625,angry
pp401,adult,232,trial4,cheek,diff_bin5,-0.3444110913994904,angry
pp401,adult,232,trial4,cheek,diff_bin6,-0.3283124800205386,angry
pp401,adult,232,trial4,cheek,diff_bin7,-0.319264551060678,angry
pp401,adult,232,trial4,cheek,diff_bin8,-0.2583284250584175,angry
pp401,adult,232,trial4,cheek,diff_bin9,-0.3393710598603681,angry
pp401,adult,232,trial5,brow,diff_bin1,-0.2594575980138692,angry
pp401,adult,232,trial5,brow,diff_bin10,-0.21907484425365786,angry
pp401,adult,232,trial5,brow,diff_bin2,0.1850716724460867,angry
pp401,adult,232,trial5,brow,diff_bin3,0.0788728982078061,angry
pp401,adult,232,trial5,brow,diff_bin4,-0.3360125814455492,angry
pp401,adult,232,trial5,brow,diff_bin5,-0.18377449078238323,angry
pp401,adult,232,trial5,brow,diff_bin6,0.00036150964398284913,angry
pp401,adult,232,trial5,brow,diff_bin7,NA,angry
pp401,adult,232,trial5,brow,diff_bin8,-0.3861135650469489,angry
pp401,adult,232,trial5,brow,diff_bin9,-0.13037738983878616,angry
pp401,adult,232,trial5,cheek,diff_bin1,0.1121675104238708,angry
pp401,adult,232,trial5,cheek,diff_bin10,0.2574839516888306,angry
pp401,adult,232,trial5,cheek,diff_bin2,0.25592904834165453,angry
pp401,adult,232,trial5,cheek,diff_bin3,0.3081523538640495,angry
pp401,adult,232,trial5,cheek,diff_bin4,0.2932333243346795,angry
pp401,adult,232,trial5,cheek,diff_bin5,0.18673584939232124,angry
pp401,adult,232,trial5,cheek,diff_bin6,0.20748576647360134,angry
pp401,adult,232,trial5,cheek,diff_bin7,0.20024742330571288,angry
pp401,adult,232,trial5,cheek,diff_bin8,0.21732455144624974,angry
pp401,adult,232,trial5,cheek,diff_bin9,0.1715487330789554,angry
pp401,adult,232,trial6,brow,diff_bin1,NA,angry
pp401,adult,232,trial6,brow,diff_bin10,0.1805634345328877,angry
pp401,adult,232,trial6,brow,diff_bin2,-0.13329073226382548,angry
pp401,adult,232,trial6,brow,diff_bin3,-7.868151074923238e-4,angry
pp401,adult,232,trial6,brow,diff_bin4,-0.1745666274974061,angry
pp401,adult,232,trial6,brow,diff_bin5,0.03077085028490037,angry
pp401,adult,232,trial6,brow,diff_bin6,-0.1652949683929027,angry
pp401,adult,232,trial6,brow,diff_bin7,0.2646250593955073,angry
pp401,adult,232,trial6,brow,diff_bin8,-0.16842096354969618,angry
pp401,adult,232,trial6,brow,diff_bin9,0.14086116951429134,angry
pp401,adult,232,trial6,cheek,diff_bin1,0.0328942483962929,angry
pp401,adult,232,trial6,cheek,diff_bin10,0.021111834239674554,angry
pp401,adult,232,trial6,cheek,diff_bin2,-0.024208236594826738,angry
pp401,adult,232,trial6,cheek,diff_bin3,-0.019007352985306925,angry
pp401,adult,232,trial6,cheek,diff_bin4,-0.061767195032647715,angry
pp401,adult,232,trial6,cheek,diff_bin5,0.05092308462001499,angry
pp401,adult,232,trial6,cheek,diff_bin6,NA,angry
pp401,adult,232,trial6,cheek,diff_bin7,0.12744845711163524,angry
pp401,adult,232,trial6,cheek,diff_bin8,0.2880324407251597,angry
pp401,adult,232,trial6,cheek,diff_bin9,0.05229032721839394,angry
pp401,adult,232,trial7,brow,diff_bin1,0.10736836426293156,angry
pp401,adult,232,trial7,brow,diff_bin10,-0.4019987241090223,angry
pp401,adult,232,trial7,brow,diff_bin2,-0.006485908318517336,angry
pp401,adult,232,trial7,brow,diff_bin3,-0.2657946494201583,angry
pp401,adult,232,trial7,brow,diff_bin4,0.27914924097435156,angry
pp401,adult,232,trial7,brow,diff_bin5,0.2734926783096774,angry
pp401,adult,232,trial7,brow,diff_bin6,-0.15736302149845358,angry
pp401,adult,232,trial7,brow,diff_bin7,0.008697496728766005,angry
pp401,adult,232,trial7,brow,diff_bin8,0.5972139318598068,angry
pp401,adult,232,trial7,brow,diff_bin9,0.033790519075816774,angry
pp401,adult,232,trial7,cheek,diff_bin1,0.014878816511770698,angry
pp401,adult,232,trial7,cheek,diff_bin10,-0.0160986113789518,angry
pp401,adult,232,trial7,cheek,diff_bin2,0.1217248042733235,angry
pp401,adult,232,trial7,cheek,diff_bin3,0.05967611811748008,angry
pp401,adult,232,trial7,cheek,diff_bin4,0.26828784908386405,angry
pp401,adult,232,trial7,cheek,diff_bin5,0.25826140336241865,angry
pp401,adult,232,trial7,cheek,diff_bin6,0.17048979028217176,angry
pp401,adult,232,trial7,cheek,diff_bin7,0.15688438599438143,angry
pp401,adult,232,trial7,cheek,diff_bin8,0.04719667832247243,angry
pp401,adult,232,trial7,cheek,diff_bin9,0.11951308830535762,angry
pp401,adult,232,trial8,brow,diff_bin1,-0.4363634055605765,angry
pp401,adult,232,trial8,brow,diff_bin10,NA,angry
pp401,adult,232,trial8,brow,diff_bin2,-0.5499412295907442,angry
pp401,adult,232,trial8,brow,diff_bin3,-0.5486227826538653,angry
pp401,adult,232,trial8,brow,diff_bin4,-0.352727086161466,angry
pp401,adult,232,trial8,brow,diff_bin5,-0.20740020928032682,angry
pp401,adult,232,trial8,brow,diff_bin6,-0.17960649723999167,angry
pp401,adult,232,trial8,brow,diff_bin7,-0.43013268052016496,angry
pp401,adult,232,trial8,brow,diff_bin8,-0.11389680312779973,angry
pp401,adult,232,trial8,brow,diff_bin9,-0.39908538168398333,angry
pp401,adult,232,trial8,cheek,diff_bin1,-0.16996702105337977,angry
pp401,adult,232,trial8,cheek,diff_bin10,-0.20371914715845943,angry
pp401,adult,232,trial8,cheek,diff_bin2,-0.16539614138625022,angry
pp401,adult,232,trial8,cheek,diff_bin3,-0.059716331135079376,angry
pp401,adult,232,trial8,cheek,diff_bin4,-0.0436847414521265,angry
pp401,adult,232,trial8,cheek,diff_bin5,-0.17992644507882624,angry
pp401,adult,232,trial8,cheek,diff_bin6,-0.18380029910756648,angry
pp401,adult,232,trial8,cheek,diff_bin7,-0.18115964428520723,angry
pp401,adult,232,trial8,cheek,diff_bin8,-0.13266274506035483,angry
pp401,adult,232,trial8,cheek,diff_bin9,-0.24143895766667792,angry
pp401,adult,434,trial1,brow,diff_bin1,-0.13063257311689191,fear
pp401,adult,434,trial1,brow,diff_bin10,0.24559263990346514,fear
pp401,adult,434,trial1,brow,diff_bin2,-0.12114826128063358,fear
pp401,adult,434,trial1,brow,diff_bin3,-0.0465284177079211,fear
pp401,adult,434,trial1,brow,diff_bin4,-0.21220616101798204,fear
pp401,adult,434,trial1,brow,diff_bin5,0.03313129560737735,fear
pp401,adult,434,trial1,brow,diff_bin6,-0.07047311530349631,fear
pp401,adult,434,trial1,brow,diff_bin7,0.2347473505839771,fear
pp401,adult,434,trial1,brow,diff_bin8,-0.055034526978107595,fear
pp401,adult,434,trial1,brow,diff_bin9,-0.40221137684077685,fear
pp401,adult,434,trial1,cheek,diff_bin1,0.05956888340388167,fear
pp401,adult,434,trial1,cheek,diff_bin10,0.05281309644718574,fear
pp401,adult,434,trial1,cheek,diff_bin2,-0.05148606686640633,fear
pp401,adult,434,trial1,cheek,diff_bin3,-0.013230082790196052,fear
pp401,adult,434,trial1,cheek,diff_bin4,0.03145998410191497,fear
pp401,adult,434,trial1,cheek,diff_bin5,0.01391370408938547,fear
pp401,adult,434,trial1,cheek,diff_bin6,NA,fear
pp401,adult,434,trial1,cheek,diff_bin7,0.1730768277477318,fear
pp401,adult,434,trial1,cheek,diff_bin8,0.029838059058739985,fear
pp401,adult,434,trial1,cheek,diff_bin9,0.12171139993412364,fear
pp401,adult,434,trial2,brow,diff_bin1,0.042955851814442725,fear
pp401,adult,434,trial2,brow,diff_bin10,-0.8124822922150559,fear
pp401,adult,434,trial2,brow,diff_bin2,0.0887187196880469,fear
pp401,adult,434,trial2,brow,diff_bin3,0.027559794035404817,fear
pp401,adult,434,trial2,brow,diff_bin4,-0.5230406590237788,fear
pp401,adult,434,trial2,brow,diff_bin5,-0.5211905802575134,fear
pp401,adult,434,trial2,brow,diff_bin6,-0.07038805421079464,fear
pp401,adult,434,trial2,brow,diff_bin7,-0.6141198240343027,fear
pp401,adult,434,trial2,brow,diff_bin8,-0.10149914886650246,fear
pp401,adult,434,trial2,brow,diff_bin9,-0.4085696935202417,fear
pp401,adult,434,trial2,cheek,diff_bin1,-0.021835668556463406,fear
pp401,adult,434,trial2,cheek,diff_bin10,0.03462340815306625,fear
pp401,adult,434,trial2,cheek,diff_bin2,0.030682532428327025,fear
pp401,adult,434,trial2,cheek,diff_bin3,0.09309313574256481,fear
pp401,adult,434,trial2,cheek,diff_bin4,0.022291416089256277,fear
pp401,adult,434,trial2,cheek,diff_bin5,-0.04666050475448069,fear
pp401,adult,434,trial2,cheek,diff_bin6,-0.05593630748073769,fear
pp401,adult,434,trial2,cheek,diff_bin7,0.008431329356670014,fear
pp401,adult,434,trial2,cheek,diff_bin8,-0.0264333569019925,fear
pp401,adult,434,trial2,cheek,diff_bin9,-0.055748646731940577,fear
pp401,adult,434,trial3,brow,diff_bin1,-0.09730989005093549,fear
pp401,adult,434,trial3,brow,diff_bin10,-0.06392341116545275,fear
pp401,adult,434,trial3,brow,diff_bin2,-0.4796807670190021,fear
pp401,adult,434,trial3,brow,diff_bin3,0.5105366783966044,fear
pp401,adult,434,trial3,brow,diff_bin4,0.3648695571446574,fear
pp401,adult,434,trial3,brow,diff_bin5,-0.15051560353595306,fear
pp401,adult,434,trial3,brow,diff_bin6,-0.583561626481157,fear
pp401,adult,434,trial3,brow,diff_bin7,-0.045720337327253446,fear
pp401,adult,434,trial3,brow,diff_bin8,-0.48523100331779884,fear
pp401,adult,434,trial3,brow,diff_bin9,-0.08676231455590411,fear
pp401,adult,434,trial3,cheek,diff_bin1,-0.18830415707869702,fear
pp401,adult,434,trial3,cheek,diff_bin10,0.03639278092743892,fear
pp401,adult,434,trial3,cheek,diff_bin2,-0.20453681184964678,fear
pp401,adult,434,trial3,cheek,diff_bin3,0.15259499745044755,fear
pp401,adult,434,trial3,cheek,diff_bin4,0.2030757388768693,fear
