pp_no,emotion,trial,muscle,bin,zdiff
pp401,232,trial1,brow,diff_bin1,0.36199874526596976
pp401,232,trial1,brow,diff_bin2,-0.3336946666694232
pp401,232,trial1,brow,diff_bin3,0.5953851183667167
pp401,232,trial1,brow,diff_bin4,0.5774372278066228
pp401,232,trial1,brow,diff_bin5,-0.04880380193769601
pp401,232,trial1,brow,diff_bin6,-0.10071233375901012
pp401,232,trial1,cheek,diff_bin1,0.2481679359449742
pp401,232,trial1,cheek,diff_bin2,-0.05329565265837832
pp401,232,trial1,cheek,diff_bin3,-0.04789370396086162
pp401,232,trial1,cheek,diff_bin4,-0.04056153041857469
pp401,232,trial1,cheek,diff_bin5,-0.07722239813000947
pp401,232,trial1,cheek,diff_bin6,-0.08549287541628198
pp401,232,trial3,brow,diff_bin1,0.05898986778874471
pp401,232,trial3,brow,diff_bin2,-0.05373734531440433
pp401,232,trial3,brow,diff_bin3,-0.07308874390407905
pp401,232,trial3,brow,diff_bin4,-0.16346615489981242
pp401,232,trial3,brow,diff_bin5,-0.09597017784088135
pp401,232,trial3,brow,diff_bin6,-0.49199336018759754
pp401,232,trial3,cheek,diff_bin1,-0.04194217735615341
pp401,232,trial3,cheek,diff_bin2,0.10006339212645735
pp401,232,trial3,cheek,diff_bin3,-0.07936709240197642
pp401,232,trial3,cheek,diff_bin4,-0.005040031539122303
pp401,232,trial3,cheek,diff_bin5,0.126751431473246
pp401,232,trial3,cheek,diff_bin6,0.09270440990577081
pp401,232,trial4,brow,diff_bin1,0.022860168663626834
pp401,232,trial4,brow,diff_bin2,-0.09171712320578773
pp401,232,trial4,brow,diff_bin3,0.5664218163017308
pp401,232,trial4,brow,diff_bin4,0.5176818101835614
pp401,232,trial4,brow,diff_bin5,0.046251969156640094
pp401,232,trial4,brow,diff_bin6,0.15959587518187768
pp401,232,trial4,cheek,diff_bin1,0.04542730554809977
pp401,232,trial4,cheek,diff_bin2,-0.022143968358058565
pp401,232,trial4,cheek,diff_bin3,-0.1861996758243295
pp401,232,trial4,cheek,diff_bin4,0.167031470768625
pp401,232,trial4,cheek,diff_bin5,-0.3444110913994904
pp401,232,trial4,cheek,diff_bin6,-0.3283124800205386
pp401,232,trial5,brow,diff_bin1,-0.2594575980138692
pp401,232,trial5,brow,diff_bin2,0.1850716724460867
pp401,232,trial5,brow,diff_bin3,0.0788728982078061
pp401,232,trial5,brow,diff_bin4,-0.3360125814455492
pp401,232,trial5,brow,diff_bin5,-0.18377449078238323
pp401,232,trial5,brow,diff_bin6,0.00036150964398284913
pp401,232,trial5,cheek,diff_bin1,0.1121675104238708
pp401,232,trial5,cheek,diff_bin2,0.25592904834165453
pp401,232,trial5,cheek,diff_bin3,0.3081523538640495
pp401,232,trial5,cheek,diff_bin4,0.2932333243346795
pp401,232,trial5,cheek,diff_bin5,0.18673584939232124
pp401,232,trial5,cheek,diff_bin6,0.20748576647360134
pp401,232,trial6,brow,diff_bin1,0.5762038419624456
pp401,232,trial6,brow,diff_bin2,-0.13329073226382548
pp401,232,trial6,brow,diff_bin3,-7.868151074923238e-4
pp401,232,trial6,brow,diff_bin4,-0.1745666274974061
